timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
6542,-1.092,0.386,1.149,172.336,131.530,147.315
6623,-1.065,0.751,0.817,118.015,108.398,84.937
6655,-1.005,0.740,0.657,162.998,141.784,135.596
6687,-0.651,0.858,0.283,120.151,79.528,97.449
6719,-0.790,0.956,0.175,54.294,42.846,45.142
6751,-0.532,0.918,0.053,26.523,8.788,5.836
6783,-0.517,0.904,0.061,-43.972,-60.914,-58.557
6815,-0.546,0.756,0.071,-131.741,-167.115,-119.775
6896,-0.694,0.271,1.110,-314.724,-455.750,-130.334
6928,-0.501,0.151,1.545,-270.535,-359.009,-105.981
6960,-0.252,0.035,1.710,-217.251,-280.274,-59.960
6992,-0.112,-0.024,1.283,-149.990,-247.986,-93.591
7024,0.066,-0.040,1.450,-184.109,-265.198,-84.496
7056,0.149,-0.022,1.704,-126.187,-284.730,-91.516
7089,0.247,-0.053,1.138,-43.484,-183.106,-101.037
7165,0.429,0.081,1.234,-0.210,-123.353,-94.140
7197,0.374,0.090,0.898,40.867,-54.261,-82.910
7229,0.409,0.158,0.922,45.017,3.112,-85.473
7261,0.498,0.197,0.953,72.971,47.180,-91.271
7293,0.297,0.277,0.905,92.380,121.337,-94.872
7325,0.384,0.324,1.033,145.176,272.888,-100.305
7407,-0.960,0.673,0.500,181.492,1243.896,16.517
7440,-0.348,0.737,0.295,46.299,260.375,9.742
7472,-0.863,0.807,0.388,-14.797,145.080,-33.959
7504,-1.073,0.766,0.500,-12.722,156.494,-53.491
7536,-1.184,0.721,0.422,-55.508,89.355,-44.702
7568,-1.413,0.601,0.569,-87.551,64.208,-14.062
7600,-1.184,0.533,0.937,-52.639,88.561,5.286
7677,-1.124,0.485,1.018,-93.777,8.178,47.401
7709,-1.145,0.621,0.530,-32.131,-28.870,34.278
7741,-1.216,0.634,0.480,-80.410,-65.491,40.748
7773,-1.098,0.509,0.710,-107.632,-62.806,52.711
7805,-0.986,0.526,0.933,-57.400,-66.285,31.959
7837,-1.117,0.543,0.721,-59.475,-47.791,34.583
